Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/31/2026,ProShares Ultra Silver,AGQ,63.17013922,65.91489291,-4.16409,-2.74475369,17996.53,1136843052.89634972
07/30/2026,ProShares Ultra Silver,AGQ,65.91489291,63.86959425,3.20230,2.04529866,17696.53,1166464616.16903066
07/29/2026,ProShares Ultra Silver,AGQ,63.86959425,62.64479851,1.95514,1.22479574,17696.53,1130269935.2545755
07/28/2026,ProShares Ultra Silver,AGQ,62.64479851,65.27246494,-4.02569,-2.62766643,18046.53,1130520985.07547626
07/27/2026,ProShares Ultra Silver,AGQ,65.27246494,65.70007752,-0.65086,-0.42761258,18096.53,1181204858.87079844
07/24/2026,ProShares Ultra Silver,AGQ,65.70007752,63.8202499,2.94550,1.87982762,18196.53,1195513168.79469552
07/23/2026,ProShares Ultra Silver,AGQ,63.8202499,68.9507816,-7.44086,-5.1305317,17996.53,1148542786.6518474
07/22/2026,ProShares Ultra Silver,AGQ,68.9507816,66.27968518,4.03004,2.67109642,17996.53,1240874533.7847216
07/21/2026,ProShares Ultra Silver,AGQ,66.27968518,61.86254561,7.14025,4.41713957,17996.53,1192804077.61368468
07/20/2026,ProShares Ultra Silver,AGQ,61.86254561,60.25545508,2.66713,1.60709053,17996.53,1113310910.49655086
07/17/2026,ProShares Ultra Silver,AGQ,60.25545508,59.95469795,0.50164,0.30075713,17946.53,1081376091.23505208
07/16/2026,ProShares Ultra Silver,AGQ,59.95469795,62.66804584,-4.32972,-2.71334789,17946.53,1075978545.5818217
07/15/2026,ProShares Ultra Silver,AGQ,62.66804584,66.42140249,-5.65082,-3.75335665,17996.53,1127807116.32875184
07/14/2026,ProShares Ultra Silver,AGQ,66.42140249,63.91844098,3.91587,2.50296151,17996.53,1195354496.86774974
07/13/2026,ProShares Ultra Silver,AGQ,63.91844098,68.93160587,-7.27267,-5.01316489,18096.53,1156701729.07403548
