Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/31/2026,ProShares UltraShort Gold,GLL,26.5007698,25.83259591,2.58655,0.66817389,4636.63,122874290.7785438
07/30/2026,ProShares UltraShort Gold,GLL,25.83259591,26.65768235,-3.09512,-0.82508644,4686.63,121067844.80227921
07/29/2026,ProShares UltraShort Gold,GLL,26.65768235,26.63434856,0.08761,0.02333379,4686.63,124934720.48966285
07/28/2026,ProShares UltraShort Gold,GLL,26.63434856,26.15494124,1.83295,0.47940732,4786.63,127488798.48210136
07/27/2026,ProShares UltraShort Gold,GLL,26.15494124,26.23654651,-0.31104,-0.08160527,4836.63,126501799.60456244
07/24/2026,ProShares UltraShort Gold,GLL,26.23654651,26.50363119,-1.00773,-0.26708468,4786.63,125584666.85770781
07/23/2026,ProShares UltraShort Gold,GLL,26.50363119,25.28346585,4.82594,1.22016534,4786.63,126863102.66662089
07/22/2026,ProShares UltraShort Gold,GLL,25.28346585,26.24783385,-3.67409,-0.964368,4686.63,118494274.84005135
07/21/2026,ProShares UltraShort Gold,GLL,26.24783385,27.05923251,-2.99860,-0.81139866,4686.63,123013911.80425935
07/20/2026,ProShares UltraShort Gold,GLL,27.05923251,27.01725802,0.15536,0.04197449,4686.63,126816637.91757381
07/17/2026,ProShares UltraShort Gold,GLL,27.01725802,27.38212963,-1.33252,-0.36487161,4836.63,130672507.67453062
07/16/2026,ProShares UltraShort Gold,GLL,27.38212963,26.59572965,2.95687,0.78639998,4836.63,132437257.01447653
07/15/2026,ProShares UltraShort Gold,GLL,26.59572965,26.35788697,0.90236,0.23784268,4736.63,125974157.52780915
07/14/2026,ProShares UltraShort Gold,GLL,26.35788697,27.21702679,-3.15663,-0.85913982,4736.63,124847584.51659807
07/13/2026,ProShares UltraShort Gold,GLL,27.21702679,25.85280702,5.27687,1.36421977,4536.63,123473607.46334449
07/10/2026,ProShares UltraShort Gold,GLL,25.85280702,25.51726969,1.31494,0.33553733,4536.63,117284645.76394962
07/09/2026,ProShares UltraShort Gold,GLL,25.51726969,26.26773843,-2.85700,-0.75046874,4386.63,111934846.25751439
07/08/2026,ProShares UltraShort Gold,GLL,26.26773843,25.35038491,3.61870,0.91735352,4386.63,115226875.69692933
07/07/2026,ProShares UltraShort Gold,GLL,25.35038491,25.2270213,0.48901,0.12336361,3986.63,101062630.34413821
07/06/2026,ProShares UltraShort Gold,GLL,25.2270213,25.74382623,-2.00749,-0.51680493,3936.63,99309474.0872403
07/02/2026,ProShares UltraShort Gold,GLL,25.74382623,26.29800591,-2.10731,-0.55417968,4086.63,105205518.33013113
07/01/2026,ProShares UltraShort Gold,GLL,26.29800591,26.88059715,-2.16733,-0.58259124,3936.63,103525545.30348921
06/30/2026,ProShares UltraShort Gold,GLL,26.88059715,26.87350184,0.02640,0.00709531,4136.63,111195111.46920165
06/29/2026,ProShares UltraShort Gold,GLL,26.87350184,26.13945045,2.80821,0.73405139,4086.63,109822085.69790104
06/26/2026,ProShares UltraShort Gold,GLL,26.13945045,26.77935644,-2.38955,-0.63990599,4186.63,109436233.57693395
06/25/2026,ProShares UltraShort Gold,GLL,26.77935644,27.30619576,-1.92938,-0.52683932,4186.63,112115283.83175364
06/24/2026,ProShares UltraShort Gold,GLL,27.30619576,25.57169686,6.78289,1.7344989,4336.63,118416895.02488456
06/23/2026,ProShares UltraShort Gold,GLL,25.57169686,24.93730582,2.54394,0.63439104,4336.63,110895013.32567866
06/22/2026,ProShares UltraShort Gold,GLL,24.93730582,24.43662751,2.04888,0.50067831,4336.63,108143893.47549242
06/18/2026,ProShares UltraShort Gold,GLL,24.43662751,23.01121524,6.19442,1.42541227,4486.63,109638130.52181881
06/17/2026,ProShares UltraShort Gold,GLL,23.01121524,23.29864701,-1.23368,-0.28743177,4386.63,100941710.11945644
06/16/2026,ProShares UltraShort Gold,GLL,23.29864701,23.32681203,-0.12074,-0.02816502,4386.63,102202567.23212331
06/15/2026,ProShares UltraShort Gold,GLL,23.32681203,24.6337106,-5.30533,-1.30689857,4586.63,106991479.18797093
06/12/2026,ProShares UltraShort Gold,GLL,24.6337106,26.22065079,-6.05225,-1.58694019,4986.63,122839224.9229886
06/11/2026,ProShares UltraShort Gold,GLL,26.22065079,25.97625247,0.94085,0.24439832,4986.63,130752710.06958849
06/10/2026,ProShares UltraShort Gold,GLL,25.97625247,24.24227826,7.15269,1.73397421,4936.63,128235173.20722857
06/09/2026,ProShares UltraShort Gold,GLL,24.24227826,23.41416577,3.53680,0.82811249,4536.63,109978271.06494206
06/08/2026,ProShares UltraShort Gold,GLL,23.41416577,23.39122144,0.09809,0.02294433,4636.63,108562846.84832087
06/05/2026,ProShares UltraShort Gold,GLL,23.39122144,22.0218697,6.21814,1.36935174,4786.63,111965145.67256864
06/04/2026,ProShares UltraShort Gold,GLL,22.0218697,22.4030437,-1.70144,-0.381174,4636.63,102107283.7289807
06/03/2026,ProShares UltraShort Gold,GLL,22.4030437,21.88865474,2.35003,0.51438896,4636.63,103874646.9137747
06/02/2026,ProShares UltraShort Gold,GLL,21.88865474,22.02011627,-0.59701,-0.13146153,4636.63,101489615.11578094
06/01/2026,ProShares UltraShort Gold,GLL,22.02011627,21.21914526,3.77476,0.80097101,4636.63,102099153.72108637
05/29/2026,ProShares UltraShort Gold,GLL,21.21914526,21.79767329,-2.65408,-0.57852803,4836.63,102629175.75801906
05/28/2026,ProShares UltraShort Gold,GLL,21.79767329,22.30351089,-2.26797,-0.5058376,4836.63,105427302.36228599
05/27/2026,ProShares UltraShort Gold,GLL,22.30351089,21.78758209,2.36799,0.5159288,4836.63,107873852.17941159
05/26/2026,ProShares UltraShort Gold,GLL,21.78758209,21.58188384,0.95311,0.20569825,4886.63,106467874.05603879
05/22/2026,ProShares UltraShort Gold,GLL,21.58188384,21.39009107,0.89664,0.19179277,4886.63,105462702.61094304
05/21/2026,ProShares UltraShort Gold,GLL,21.39009107,21.45899957,-0.32112,-0.0689085,4786.63,102386473.00848517
05/20/2026,ProShares UltraShort Gold,GLL,21.45899957,21.69304473,-1.07889,-0.23404516,4886.63,104862212.52774867
05/19/2026,ProShares UltraShort Gold,GLL,21.69304473,21.25352098,2.06800,0.43952375,4886.63,106005904.86200463
05/18/2026,ProShares UltraShort Gold,GLL,21.25352098,21.2160174,0.17677,0.03750358,4886.63,103858114.48001838
05/15/2026,ProShares UltraShort Gold,GLL,21.2160174,20.15114031,5.28445,1.06487709,4786.63,101553246.5833794
05/14/2026,ProShares UltraShort Gold,GLL,20.15114031,19.96638636,0.92532,0.18475395,4686.63,94440958.86219561
05/13/2026,ProShares UltraShort Gold,GLL,19.96638636,20.13394626,-0.83223,-0.1675599,4686.63,93575085.27275316
05/12/2026,ProShares UltraShort Gold,GLL,20.13394626,19.77864786,1.79637,0.3552984,4686.63,94360376.69445006
05/11/2026,ProShares UltraShort Gold,GLL,19.77864786,19.75987076,0.09503,0.0187771,4786.63,94673088.98475966
05/08/2026,ProShares UltraShort Gold,GLL,19.75987076,19.92481247,-0.82782,-0.16494171,5036.63,99523177.62580956
05/07/2026,ProShares UltraShort Gold,GLL,19.92481247,20.06563754,-0.70182,-0.14082507,5036.63,100353928.15558857
05/06/2026,ProShares UltraShort Gold,GLL,20.06563754,21.23303564,-5.49803,-1.1673981,5186.63,104073057.69972774
05/05/2026,ProShares UltraShort Gold,GLL,21.23303564,21.56614846,-1.54461,-0.33311282,5186.63,110127920.87452884
05/04/2026,ProShares UltraShort Gold,GLL,21.56614846,20.57828274,4.80053,0.98786572,5186.63,111855654.15323826
05/01/2026,ProShares UltraShort Gold,GLL,20.57828274,20.70941365,-0.63319,-0.13113091,5536.63,113934358.14504894
04/30/2026,ProShares UltraShort Gold,GLL,20.70941365,21.34563802,-2.98058,-0.63622437,5536.63,114660381.60641315
04/29/2026,ProShares UltraShort Gold,GLL,21.34563802,20.91800588,2.04433,0.42763214,5536.63,118182921.17631062
04/28/2026,ProShares UltraShort Gold,GLL,20.91800588,20.18333013,3.64001,0.73467575,5536.63,115815279.81339028
04/27/2026,ProShares UltraShort Gold,GLL,20.18333013,19.78630081,2.00659,0.39702932,5436.63,109729318.26799203
04/24/2026,ProShares UltraShort Gold,GLL,19.78630081,19.92675836,-0.70487,-0.14045755,5436.63,107570816.35897111
04/23/2026,ProShares UltraShort Gold,GLL,19.92675836,19.68513433,1.22744,0.24162403,5436.63,108334432.22948516
04/22/2026,ProShares UltraShort Gold,GLL,19.68513433,19.96766872,-1.41496,-0.28253439,5536.63,108989324.97064223
04/21/2026,ProShares UltraShort Gold,GLL,19.96766872,19.10183443,4.53273,0.86583429,5536.63,110553613.63288232
04/20/2026,ProShares UltraShort Gold,GLL,19.10183443,18.70933755,2.09787,0.39249688,5536.63,105759808.66200533
04/17/2026,ProShares UltraShort Gold,GLL,18.70933755,19.27829257,-2.95127,-0.56895502,5536.63,103586698.26879405
04/16/2026,ProShares UltraShort Gold,GLL,19.27829257,19.15641443,0.63623,0.12187814,5536.63,106736792.27013167
04/15/2026,ProShares UltraShort Gold,GLL,19.15641443,18.94748556,1.10267,0.20892887,5536.63,106061997.98198533
04/14/2026,ProShares UltraShort Gold,GLL,18.94748556,19.62760265,-3.46511,-0.68011709,5536.63,104905235.92354836
04/13/2026,ProShares UltraShort Gold,GLL,19.62760265,19.46200798,0.85086,0.16559467,5486.63,107689413.15517215
04/10/2026,ProShares UltraShort Gold,GLL,19.46200798,19.21536913,1.28355,0.24663885,5486.63,106780856.30531538
04/09/2026,ProShares UltraShort Gold,GLL,19.21536913,19.54734763,-1.69833,-0.3319785,5486.63,105427639.94510103
04/08/2026,ProShares UltraShort Gold,GLL,19.54734763,20.35045663,-3.94639,-0.803109,5536.63,108226450.85603453
04/07/2026,ProShares UltraShort Gold,GLL,20.35045663,20.34873539,0.00846,0.00172124,5736.63,116743060.36781353
04/06/2026,ProShares UltraShort Gold,GLL,20.34873539,20.38816074,-0.19337,-0.03942535,5636.63,114698312.71007109
04/02/2026,ProShares UltraShort Gold,GLL,20.38816074,19.31428283,5.56002,1.07387791,5636.63,114920538.86006694
04/01/2026,ProShares UltraShort Gold,GLL,19.31428283,20.49061675,-5.74084,-1.17633392,5686.63,109833199.48384573
03/31/2026,ProShares UltraShort Gold,GLL,20.49061675,21.63996266,-5.31122,-1.14934591,5786.63,118571638.09466925
03/30/2026,ProShares UltraShort Gold,GLL,21.63996266,21.96007102,-1.45768,-0.32010836,5786.63,125222478.76719846
03/27/2026,ProShares UltraShort Gold,GLL,21.96007102,23.16929565,-5.21908,-1.20922463,5786.63,127074827.72653362
03/26/2026,ProShares UltraShort Gold,GLL,23.16929565,21.51037987,7.71216,1.65891578,5386.63,124804446.19645515
03/25/2026,ProShares UltraShort Gold,GLL,21.51037987,23.0876815,-6.83179,-1.57730163,5536.63,119095036.01001797
03/24/2026,ProShares UltraShort Gold,GLL,23.0876815,23.0283527,0.25763,0.0593288,5286.63,122056052.7360265
03/23/2026,ProShares UltraShort Gold,GLL,23.0283527,21.4449868,7.38338,1.5833659,5436.63,125196656.1677537
03/20/2026,ProShares UltraShort Gold,GLL,21.4449868,21.16237989,1.33542,0.28260691,6536.63,140177965.5114708
03/19/2026,ProShares UltraShort Gold,GLL,21.16237989,18.91698095,11.86975,2.24539894,6186.63,130923835.46125059
03/18/2026,ProShares UltraShort Gold,GLL,18.91698095,18.10810493,4.46693,0.80887602,5586.63,105682192.20167945
03/17/2026,ProShares UltraShort Gold,GLL,18.10810493,18.15201436,-0.24190,-0.04390943,5586.63,101163300.35319083
03/16/2026,ProShares UltraShort Gold,GLL,18.15201436,17.7375668,2.33655,0.41444756,5186.63,94147800.39202116
03/13/2026,ProShares UltraShort Gold,GLL,17.7375668,17.29974173,2.53082,0.43782507,4686.63,83129430.4294508
03/12/2026,ProShares UltraShort Gold,GLL,17.29974173,16.94887308,2.07016,0.35086865,4336.63,75022596.27831163
03/11/2026,ProShares UltraShort Gold,GLL,16.94887308,16.55076107,2.40540,0.39811201,4636.63,78585670.33779348
03/10/2026,ProShares UltraShort Gold,GLL,16.55076107,17.49845505,-5.41587,-0.94769398,4636.63,76739771.85075517
03/09/2026,ProShares UltraShort Gold,GLL,17.49845505,17.13353291,2.12987,0.36492214,4636.63,81133879.13693655
03/06/2026,ProShares UltraShort Gold,GLL,17.13353291,17.68834222,-3.13658,-0.55480931,4636.63,79441869.83002621
03/05/2026,ProShares UltraShort Gold,GLL,17.68834222,17.31176518,2.17527,0.37657704,4186.63,74054561.87686082
03/04/2026,ProShares UltraShort Gold,GLL,17.31176518,17.38629484,-0.42867,-0.07452966,3986.63,69015619.73130858
