Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/31/2026,ProShares Ultra Gold,UGL,44.17644701,45.33963191,-2.56549,-1.1631849,14900,658229060.449
07/30/2026,ProShares Ultra Gold,UGL,45.33963191,43.97125503,3.11198,1.36837688,14600,661958625.886
07/29/2026,ProShares Ultra Gold,UGL,43.97125503,44.00164081,-0.06906,-0.03038578,14600,641980323.438
07/28/2026,ProShares Ultra Gold,UGL,44.00164081,44.81898668,-1.82366,-0.81734587,14850,653424366.0285
07/27/2026,ProShares Ultra Gold,UGL,44.81898668,44.66977431,0.33403,0.14921237,14850,665561952.198
07/24/2026,ProShares Ultra Gold,UGL,44.66977431,44.21462613,1.02941,0.45514818,14850,663346148.5035
07/23/2026,ProShares Ultra Gold,UGL,44.21462613,46.45256354,-4.81768,-2.23793741,14700,649955004.111
07/22/2026,ProShares Ultra Gold,UGL,46.45256354,44.80134014,3.68566,1.6512234,14700,682852684.038
07/21/2026,ProShares Ultra Gold,UGL,44.80134014,43.491572,3.01154,1.30976814,14750,660819767.065
07/20/2026,ProShares Ultra Gold,UGL,43.491572,43.54284828,-0.11776,-0.05127628,14700,639326108.4
07/17/2026,ProShares Ultra Gold,UGL,43.54284828,42.9649531,1.34504,0.57789518,14650,637902727.302
07/16/2026,ProShares Ultra Gold,UGL,42.9649531,44.26677492,-2.94086,-1.30182182,14650,629436562.915
07/15/2026,ProShares Ultra Gold,UGL,44.26677492,44.66911576,-0.90071,-0.40234084,14750,652934930.07
07/14/2026,ProShares Ultra Gold,UGL,44.66911576,43.2895936,3.18673,1.37952216,14750,658869457.46
07/13/2026,ProShares Ultra Gold,UGL,43.2895936,45.68546514,-5.24428,-2.39587154,14400,623370147.84
07/10/2026,ProShares Ultra Gold,UGL,45.68546514,46.29358025,-1.31361,-0.60811511,14000,639596511.96
07/09/2026,ProShares Ultra Gold,UGL,46.29358025,45.00272232,2.86840,1.29085793,14250,659683518.5625
07/08/2026,ProShares Ultra Gold,UGL,45.00272232,46.68435903,-3.60214,-1.68163671,14250,641288793.06
07/07/2026,ProShares Ultra Gold,UGL,46.68435903,46.90971798,-0.48041,-0.22535895,14350,669920552.0805
07/06/2026,ProShares Ultra Gold,UGL,46.90971798,45.97025484,2.04363,0.93946314,14450,677845424.811
07/02/2026,ProShares Ultra Gold,UGL,45.97025484,45.00857365,2.13666,0.96168119,14600,671165720.664
07/01/2026,ProShares Ultra Gold,UGL,45.00857365,44.04881539,2.17885,0.95975826,14350,645873031.8775
06/30/2026,ProShares Ultra Gold,UGL,44.04881539,44.05441737,-0.01272,-0.00560198,14550,640910263.9245
06/29/2026,ProShares Ultra Gold,UGL,44.05441737,45.31896346,-2.79032,-1.26454609,14500,638789051.865
06/26/2026,ProShares Ultra Gold,UGL,45.31896346,44.24780936,2.42081,1.0711541,14500,657124970.17
06/25/2026,ProShares Ultra Gold,UGL,44.24780936,43.40456664,1.94275,0.84324272,14200,628318892.912
06/24/2026,ProShares Ultra Gold,UGL,43.40456664,46.55813068,-6.77339,-3.15356404,14200,616344846.288
06/23/2026,ProShares Ultra Gold,UGL,46.55813068,47.76778708,-2.53237,-1.2096564,14100,656469642.588
06/22/2026,ProShares Ultra Gold,UGL,47.76778708,48.75156129,-2.01793,-0.98377421,14150,675914187.182
06/18/2026,ProShares Ultra Gold,UGL,48.75156129,51.95699992,-6.16941,-3.20543863,14550,709335216.7695
06/17/2026,ProShares Ultra Gold,UGL,51.95699992,51.31766499,1.24584,0.63933493,14300,742985098.856
06/16/2026,ProShares Ultra Gold,UGL,51.31766499,51.24692344,0.13804,0.07074155,14300,733842609.357
06/15/2026,ProShares Ultra Gold,UGL,51.24692344,48.65144643,5.33484,2.59547701,14300,732831005.192
06/12/2026,ProShares Ultra Gold,UGL,48.65144643,45.86500644,6.07531,2.78643999,14600,710311117.878
06/11/2026,ProShares Ultra Gold,UGL,45.86500644,46.29240432,-0.92326,-0.42739788,14300,655869592.092
06/10/2026,ProShares Ultra Gold,UGL,46.29240432,49.85239665,-7.14107,-3.55999233,14300,661981381.776
06/09/2026,ProShares Ultra Gold,UGL,49.85239665,51.67323566,-3.52376,-1.82083901,13900,692948313.435
06/08/2026,ProShares Ultra Gold,UGL,51.67323566,51.71120737,-0.07343,-0.03797171,13900,718257975.674
06/05/2026,ProShares Ultra Gold,UGL,51.71120737,55.12131707,-6.18655,-3.4101097,14650,757569187.9705
06/04/2026,ProShares Ultra Gold,UGL,55.12131707,54.19294338,1.71309,0.92837369,14650,807527295.0755
06/03/2026,ProShares Ultra Gold,UGL,54.19294338,55.4923428,-2.34158,-1.29939942,14700,796636267.686
06/02/2026,ProShares Ultra Gold,UGL,55.4923428,55.15568067,0.61039,0.33666213,14700,815737439.16
06/01/2026,ProShares Ultra Gold,UGL,55.15568067,57.31791773,-3.77236,-2.16223706,15000,827335210.05
05/29/2026,ProShares Ultra Gold,UGL,57.31791773,55.81158221,2.69897,1.50633552,14900,854036974.177
05/28/2026,ProShares Ultra Gold,UGL,55.81158221,54.57113894,2.27308,1.24044327,14900,831592574.929
05/27/2026,ProShares Ultra Gold,UGL,54.57113894,55.88510558,-2.35119,-1.31396664,14750,804924299.365
05/26/2026,ProShares Ultra Gold,UGL,55.88510558,56.40646302,-0.92429,-0.52135744,14650,818716796.747
05/22/2026,ProShares Ultra Gold,UGL,56.40646302,56.89933495,-0.86622,-0.49287193,15000,846096945.3
05/21/2026,ProShares Ultra Gold,UGL,56.89933495,56.71016852,0.33357,0.18916643,14950,850645057.5025
05/20/2026,ProShares Ultra Gold,UGL,56.71016852,56.10095555,1.08592,0.60921297,15450,876172103.634
05/19/2026,ProShares Ultra Gold,UGL,56.10095555,57.27737645,-2.05390,-1.1764209,15700,880785002.135
05/18/2026,ProShares Ultra Gold,UGL,57.27737645,57.35821286,-0.14093,-0.08083641,15900,910710285.555
05/15/2026,ProShares Ultra Gold,UGL,57.35821286,60.54416001,-5.26219,-3.18594715,15900,911995584.474
05/14/2026,ProShares Ultra Gold,UGL,60.54416001,61.10235918,-0.91355,-0.55819917,15900,962652144.159
05/13/2026,ProShares Ultra Gold,UGL,61.10235918,60.58802509,0.84890,0.51433409,16050,980692864.839
05/12/2026,ProShares Ultra Gold,UGL,60.58802509,61.67828502,-1.76766,-1.09025993,16050,972437802.6945
05/11/2026,ProShares Ultra Gold,UGL,61.67828502,61.7293828,-0.08278,-0.05109778,16050,989936474.571
05/08/2026,ProShares Ultra Gold,UGL,61.7293828,61.20860621,0.85082,0.52077659,16250,1003102470.5
05/07/2026,ProShares Ultra Gold,UGL,61.20860621,60.77532132,0.71293,0.43328489,15750,964035547.8075
05/06/2026,ProShares Ultra Gold,UGL,60.77532132,57.60036232,5.51205,3.174959,15550,945056246.526
05/05/2026,ProShares Ultra Gold,UGL,57.60036232,56.71260472,1.56536,0.8877576,15550,895685634.076
05/04/2026,ProShares Ultra Gold,UGL,56.71260472,59.56013014,-4.78093,-2.84752542,15550,881881003.396
05/01/2026,ProShares Ultra Gold,UGL,59.56013014,59.17312512,0.65402,0.38700502,15400,917226004.156
04/30/2026,ProShares Ultra Gold,UGL,59.17312512,57.45388721,2.99238,1.71923791,15350,908307470.592
04/29/2026,ProShares Ultra Gold,UGL,57.45388721,58.64108202,-2.02451,-1.18719481,15350,881917168.6735
04/28/2026,ProShares Ultra Gold,UGL,58.64108202,60.85217287,-3.63354,-2.21109085,15350,900140609.007
04/27/2026,ProShares Ultra Gold,UGL,60.85217287,62.07871899,-1.97579,-1.22654612,15400,937123462.198
04/24/2026,ProShares Ultra Gold,UGL,62.07871899,61.62914163,0.72949,0.44957736,15550,965324080.2945
04/23/2026,ProShares Ultra Gold,UGL,61.62914163,62.38604001,-1.21325,-0.75689838,15500,955251695.265
04/22/2026,ProShares Ultra Gold,UGL,62.38604001,61.5151492,1.41573,0.87089081,15650,976341526.1565
04/21/2026,ProShares Ultra Gold,UGL,61.5151492,64.4187123,-4.50733,-2.9035631,15650,962712084.98
04/20/2026,ProShares Ultra Gold,UGL,64.4187123,65.77963774,-2.06892,-1.36092544,15800,1017815654.34
