Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/31/2026,ProShares UltraShort Silver,ZSL,31.68429658,30.41369567,4.17773,1.27060091,2040.82,64661882.77780244
07/30/2026,ProShares UltraShort Silver,ZSL,30.41369567,31.41571586,-3.18955,-1.00202019,2040.82,62068817.56985806
07/29/2026,ProShares UltraShort Silver,ZSL,31.41571586,32.03742086,-1.94056,-0.621705,2040.82,64113758.40997348
07/28/2026,ProShares UltraShort Silver,ZSL,32.03742086,30.79476759,4.03527,1.24265327,2040.82,65382545.16466348
07/27/2026,ProShares UltraShort Silver,ZSL,30.79476759,30.59025643,0.66855,0.20451116,2090.82,64386254.38298862
07/24/2026,ProShares UltraShort Silver,ZSL,30.59025643,31.5120299,-2.92515,-0.92177347,2190.82,67017684.41145974
07/23/2026,ProShares UltraShort Silver,ZSL,31.5120299,29.327471,7.44885,2.1845589,2090.82,65885919.3314582
07/22/2026,ProShares UltraShort Silver,ZSL,29.327471,30.55736332,-4.02486,-1.22989232,2140.82,62784777.811278
07/21/2026,ProShares UltraShort Silver,ZSL,30.55736332,32.90297283,-7.12887,-2.34560951,2240.82,68473489.75999576
07/20/2026,ProShares UltraShort Silver,ZSL,32.90297283,33.79303285,-2.63386,-0.89006002,2490.82,81955316.97847494
07/17/2026,ProShares UltraShort Silver,ZSL,33.79303285,33.95968595,-0.49074,-0.1666531,2840.82,95999855.9948713
07/16/2026,ProShares UltraShort Silver,ZSL,33.95968595,32.54569331,4.34464,1.41399264,2990.82,101567240.0136071
07/15/2026,ProShares UltraShort Silver,ZSL,32.54569331,30.8031078,5.65717,1.74258551,2990.82,97338245.37402758
07/14/2026,ProShares UltraShort Silver,ZSL,30.8031078,32.05126395,-3.89425,-1.24815615,2990.82,92126489.2641804
07/13/2026,ProShares UltraShort Silver,ZSL,32.05126395,29.86972951,7.30350,2.18153444,3140.82,100667186.7369111
07/10/2026,ProShares UltraShort Silver,ZSL,29.86972951,29.30722202,1.91935,0.56250749,3140.82,93815384.10013918
07/09/2026,ProShares UltraShort Silver,ZSL,29.30722202,31.69806986,-7.54257,-2.39084784,3140.82,92048650.45041236
07/08/2026,ProShares UltraShort Silver,ZSL,31.69806986,29.05265129,9.10560,2.64541857,3090.82,97972964.88854548
07/07/2026,ProShares UltraShort Silver,ZSL,29.05265129,28.14868656,3.21139,0.90396473,2790.82,81080662.16785522
07/06/2026,ProShares UltraShort Silver,ZSL,28.14868656,29.36232608,-4.13332,-1.21363952,2790.82,78557861.12800608
07/02/2026,ProShares UltraShort Silver,ZSL,29.36232608,29.90566481,-1.81684,-0.54333873,2940.82,86349257.05793344
07/01/2026,ProShares UltraShort Silver,ZSL,29.90566481,30.50343018,-1.95967,-0.59776537,2940.82,87947117.37521458
06/30/2026,ProShares UltraShort Silver,ZSL,30.50343018,31.9045668,-4.39165,-1.40113662,2990.82,91230208.04408724
06/29/2026,ProShares UltraShort Silver,ZSL,31.9045668,30.82783608,3.49272,1.07673072,2990.82,95420752.6676424
06/26/2026,ProShares UltraShort Silver,ZSL,30.82783608,31.77034688,-2.96664,-0.9425108,3140.82,96824622.46111344
06/25/2026,ProShares UltraShort Silver,ZSL,31.77034688,32.08421688,-0.97827,-0.31387,3140.82,99784877.34694784
06/24/2026,ProShares UltraShort Silver,ZSL,32.08421688,28.43999789,12.81371,3.64421899,3790.82,121625426.86460784
06/23/2026,ProShares UltraShort Silver,ZSL,28.43999789,25.67934285,10.75049,2.76065504,3640.82,103544856.23787402
06/22/2026,ProShares UltraShort Silver,ZSL,25.67934285,25.12256742,2.21624,0.55677543,4290.82,110185386.5289513
